,Engine_Version,Emi,Price,Fuel_Type,mnf_year,Company,Car_Name,km_drive,Owner
4,"₹32,700off","₹13,988/month","₹7,15,499",Petrol,2021,Nissan,MAGNITE,"16,550 ",1st
5,Answer a few questions to check EMI offer,n/a,n/a,,n/a,,,/,
6,"₹47,500off","₹37,607/month","₹20,02,599",Petrol,2021,Mahindra,XUV700,"5,801 ",1st
7,VXI Manual,"₹12,635/month","₹6,46,299",Petrol,2020,Maruti,Swift,"55,412 ",1st
8,XZ 1.2 REVOTRON Manual,"₹8,487/month","₹4,34,099",Petrol,2018,Tata,Tiago,"84,145 ",2nd
9,"₹11,200off","₹5,165/month","₹2,64,199",Petrol,2015,Hyundai,Eon,"78,282 ",3rd
10,"₹6,900off","₹15,329/month","₹8,16,299",Petrol,2021,Nissan,MAGNITE,"20,233 ",1st
11,"₹5,000off","₹7,476/month","₹3,82,399",Petrol,2018,Maruti,Alto K10,"8,108 ",1st
12,W11 (O) Manual,"₹30,082/month","₹16,01,899",Diesel,2019,Mahindra,XUV500,"29,398 ",2nd
13,1.2 SPORTS PLUS VTVT Manual,"₹13,873/month","₹7,09,599",Petrol,2019,Hyundai,Elite i20,"22,553 ",1st
14,"₹20,200off","₹26,522/month","₹14,12,299",Petrol,2022,MG,ASTOR,"8,582 ",1st
15,"₹18,000off","₹17,771/month","₹9,46,299",Diesel,2014,Toyota,Innova,"82,425 ",1st
16,RXT Manual,"₹8,710/month","₹4,45,499",Petrol,2020,Renault,Kwid,"7,911 ",1st
17,ZDI + Manual,"₹14,637/month","₹7,48,699",Diesel,2019,Maruti,Swift,"38,472 ",1st
18,VXI Manual,"₹8,541/month","₹4,36,899",Petrol,2018,Maruti,Celerio,"71,880 ",1st
19,PRESTIGE 2.0 MT 7STR ,"₹32,388/month","₹17,24,699",Petrol,2022,Hyundai,ALCAZAR,"8,864 ",1st
20,3.0 AT 4X2 Automatic,"₹19,652/month","₹10,46,499",Diesel,2012,Toyota,Fortuner,"91,816 ",2nd
0,ZXI Plus SHVS Manual,"₹18,432/month","₹9,81,499",Petrol,2019,Maruti,Ertiga,"28,363 ",2nd
1,"₹14,000off","₹6,299/month","₹3,22,199",Petrol,2013,Maruti,Wagon R 1.0,"48,966 ",1st
2,"₹45,700off","₹16,755/month","₹8,92,199",Petrol,2021,Nissan,MAGNITE,"6,808 ",2nd
3,RXL EASY R 1.0 L ,"₹15,489/month","₹8,24,799",Petrol,2021,Renault,Kiger,"2,734 ",1st
4,"₹12,000off","₹11,838/month","₹6,05,499",Petrol,2019,Hyundai,Elite i20,"14,925 ",3rd
5,Answer a few questions to check EMI offer,n/a,n/a,,n/a,,,/,
